FIR_ID,Police Station Name,District,FIR Number,Date & Time of Registration,Type of Information,Date of Occurrence,Place of Occurrence,Complainant Name,Father/Mother's Name,Age,Gender,Address,Contact Number,ID Proof Details,Accused Name,Accused Father's Name,Accused Address,IPC Sections,Nature of Offence,Complaint Body,Property Details,Action Taken,Complainant Signature,Duty Officer Name,Duty Officer Rank,Duty Officer Badge No,Priority,Date/Time,Police Station,Complainant Age,Complainant Gender,Complainant ID Type,Complainant Address,Accused Age,Accused Gender,Accused ID Type,Crime Location,IPC Section,Status,Investigating Officer,Badge ID
2.0,Alwar Rural PS,Nagaur,FIR/2025/0002,07-09-2025 10:18 PM,Written,13-12-2024,outside the post office in Adarsh Nagar,Zahid Khan,Rajesh Solanki,52.0,Male,"113, Kishangarh, Ajmer",9848539664.0,Aadhar Card,Unknown person(s),,,IPC 252,scam,A case of scam was reported near outside the post office in Adarsh Nagar.,Not applicable,Case registered and investigation taken up,Signed,SI Laxmi Bai,Sub-Inspector,RJ9745,Medium,,,,,,,,,,,,,,
3.0,Bagru PS,Jhunjhunu,FIR/2025/0003,07-09-2025 10:18 PM,Written,26-08-2025,outside the textile shop in Johari Bazaar,Deepak Gurjar,Rajendra Singh,60.0,Female,"142, Kotputli, Kishangarh",9351490986.0,Aadhar Card,Unknown person(s),,,IPC 402,extremism,A case of extremism was reported near outside the textile shop in Johari Bazaar.,Not applicable,Case registered and investigation taken up,Signed,SI Kiran Kumari,Sub-Inspector,RJ3547,High,,,,,,,,,,,,,,
6.0,Dudu PS,Alwar,FIR/2025/0006,07-09-2025 10:18 PM,Written,08-10-2024,outside the temple in Kishanpole,Ravi Meena,Mahendra Rathore,62.0,Female,"13, Kishangarh, Bhiwadi",9710557138.0,Aadhar Card,Unknown person(s),,,IPC 262,vehicle theft,A car was lifted. Police are tracing registration details.,Not applicable,Case registered and investigation taken up,Signed,Inspector Rahul Dudi,Sub-Inspector,RJ3526,Medium,,,,,,,,,,,,,,
7.0,Hiran Magri PS,Nagaur,FIR/2025/0007,07-09-2025 10:18 PM,Written,24-04-2025,outside the school in Bagru,Rakesh Prajapat,Narendra Dangi,52.0,Male,"153, Phagi, Ajmer",9562423591.0,Aadhar Card,Wasim Akram,Wasim Akram,"153, Phagi, Ajmer",IPC 386,deception,A case of deception was reported near outside the school in Bagru.,Not applicable,Case registered and investigation taken up,Signed,Inspector Sakina Bano,Sub-Inspector,RJ8025,Medium,,,,,,,,,,,,,,
8.0,Bassi PS,Dausa,FIR/2025/0008,07-09-2025 10:18 PM,Written,15-07-2025,at the market square in Tonk Phatak,Anjum Bano,Pinki Kumari,54.0,Male,"106, Civil Lines, Pratapgarh",9557005427.0,Aadhar Card,Zahid Khan,Anjum Bano,"106, Civil Lines, Pratapgarh",IPC 132,neighborhood dispute,Verbal argument escalated. Police intervened.,Not applicable,Case registered and investigation taken up,Signed,SI Gopal Mali,Sub-Inspector,RJ3637,Low,,,,,,,,,,,,,,
9.0,Ajmer City PS,Barmer,FIR/2025/0009,07-09-2025 10:18 PM,Written,13-02-2025,near Jawahar Circle,Dinesh Saini,Ravi Meena,22.0,Male,"148, Nasirabad, Sri Ganganagar",9825443444.0,Aadhar Card,Kiran Kumari,Hemant Rajput,"148, Nasirabad, Sri Ganganagar",IPC 501,boundary violation,A case of boundary violation was reported near near Jawahar Circle.,Not applicable,Case registered and investigation taken up,Signed,ASI Devendra Suthar,Sub-Inspector,RJ4252,Medium,,,,,,,,,,,,,,
10.0,Gopalpura PS,Alwar,FIR/2025/0010,07-09-2025 10:18 PM,Written,03-11-2024,outside Gaurav Tower,Kanchan Devi,Javed Ali,18.0,Male,"83, Kishangarh, Jaipur",9523710044.0,Aadhar Card,Unknown person(s),,,IPC 485,car theft,A case of car theft was reported near outside Gaurav Tower.,Not applicable,Case registered and investigation taken up,Signed,Inspector Nisha Kumari,Sub-Inspector,RJ4909,Medium,,,,,,,,,,,,,,
12.0,Bayana PS,Jhunjhunu,FIR/2025/0012,07-09-2025 10:18 PM,Written,15-10-2024,at the toll plaza on NH-8,Iqbal Hussain,Deepak Gurjar,58.0,Female,"194, Sodala, Neemrana",9996746578.0,Aadhar Card,Unknown person(s),,,IPC 265,vehicle theft,The complainant's bike was stolen. No CCTV footage available.,Not applicable,Case registered and investigation taken up,Signed,SI Priya Choudhary,Sub-Inspector,RJ4799,Medium,,,,,,,,,,,,,,
13.0,Tonk Road PS,Dausa,FIR/2025/0013,07-09-2025 10:18 PM,Written,18-08-2025,outside the post office in Adarsh Nagar,Suman Devi,Mohammad Aslam,55.0,Female,"148, Adarsh Nagar, Pratapgarh",9259433943.0,Aadhar Card,Zahid Khan,Devendra Suthar,"148, Adarsh Nagar, Pratapgarh",IPC 288,anti-national activity,A case of anti-national activity was reported near outside the post office in Adarsh Nagar.,Not applicable,Case registered and investigation taken up,Signed,Inspector Neha Solanki,Sub-Inspector,RJ9501,High,,,,,,,,,,,,,,
14.0,Sanganer PS,Nagaur,FIR/2025/0014,07-09-2025 10:18 PM,Written,25-07-2025,outside the Panchayat Bhawan in Kalwad,Kusum Lata,Imran Khan,50.0,Male,"67, Phagi, Baran",9274638373.0,Aadhar Card,Unknown person(s),,,IPC 120,fraud,The complainant was duped in a financial scam.,Not applicable,Case registered and investigation taken up,Signed,SI Laxmi Bai,Sub-Inspector,RJ6368,Medium,,,,,,,,,,,,,,
